City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kalmunai,7.42,81.82,78.4,85,36,8.57,LK,1611975828
Rikitea,-23.12,-134.97,80.46,70,38,9.26,PF,1611975828
Santa Maria,-29.68,-53.81,75.2,83,0,9.22,BR,1611975567
Butembo,0.15,29.28,59.54,69,12,2.66,CD,1611975829
Cidreira,-30.18,-50.21,75.16,89,39,4.92,BR,1611975829
Hermanus,-34.42,19.23,61,91,72,3.29,ZA,1611975829
Phek,25.67,94.5,52.48,67,0,0.31,IN,1611975830
Sladkovo,55.53,70.34,8.38,94,58,6.87,RU,1611975830
Colares,38.8,-9.45,59,100,100,20.33,PT,1611975830
Nemuro,43.32,145.57,30.2,86,75,6.91,JP,1611975757
Busselton,-33.65,115.33,82,45,0,4,AU,1611975627
Valparaíso,-33.04,-71.63,66,79,100,6.38,CL,1611975726
Zunyi,27.69,106.91,42.93,71,100,3.42,CN,1611975601
Russell,32.35,-85.2,44.6,80,1,0.6,US,1611975608
Lüderitz,-26.65,15.16,65.17,53,0,22.37,NA,1611975833
Mataura,-46.19,168.86,70.48,36,0,0.94,NZ,1611975833
Vao,-22.67,167.48,76.35,74,41,20.15,NC,1611975833
Guerrero Negro,27.98,-114.06,60.28,75,4,15.5,MX,1611975834
Yellowknife,62.46,-114.35,-18,76,1,9.22,CA,1611975834
Nikolskoye,59.7,30.79,30.2,93,90,8.95,RU,1611975834
Carnarvon,-24.87,113.63,105.8,21,0,18.41,AU,1611975835
Hambantota,6.12,81.12,75.2,100,20,4.61,LK,1611975835
Saint-Philippe,-21.36,55.77,78.8,57,0,6.91,RE,1611975836
Sinnamary,5.38,-52.95,77.29,88,96,12.84,GF,1611975836
Nome,64.5,-165.41,-2.2,60,1,21.85,US,1611975836
Kapaa,22.08,-159.32,75.2,78,40,16.11,US,1611975837
Tautira,-17.73,-149.15,82.4,69,75,13.8,PF,1611975837
Souillac,-20.52,57.52,78.8,89,75,4.61,MU,1611975837
Barrow,71.29,-156.79,-11.2,77,90,9.22,US,1611975838
Severo-Kuril'sk,50.68,156.12,24.76,90,100,16.06,RU,1611975569
Thompson,55.74,-97.86,10.4,85,90,5.75,CA,1611975838
Mindelo,16.89,-24.98,71.6,78,90,19.57,CV,1611975675
Leh,34.17,77.58,-0.13,64,0,1.32,IN,1611975839
Bluff,-46.6,168.33,54.3,72,0,14.85,NZ,1611975839
Boa Vista,2.82,-60.67,82.4,61,0,11.5,BR,1611975840
Kupang,-10.17,123.58,78.8,100,75,3.44,ID,1611975840
Hualmay,-11.1,-77.61,70.77,78,80,7.67,PE,1611975840
Vyborg,60.71,28.75,30.99,94,100,1.01,RU,1611975651
Half Moon Bay,37.46,-122.43,48.2,93,40,0.78,US,1611975841
Saquarema,-22.92,-42.51,82.4,83,0,9.22,BR,1611975841
Tuatapere,-46.13,167.68,65.68,46,0,6.13,NZ,1611975842
Beni,0.5,29.47,64.17,64,47,1.52,CD,1611975842
Avarua,-21.21,-159.78,84.2,74,20,5.75,CK,1611975843
Albany,42.6,-73.97,10.99,51,6,5.99,US,1611975843
Bijie,27.31,105.29,37.71,88,100,3.33,CN,1611975843
Puerto Ayora,-0.74,-90.35,78.01,95,44,5.99,EC,1611975844
Manokwari,-0.87,134.08,83.1,64,89,2.86,ID,1611975844
Saint Paul Harbor,57.79,-152.41,35.6,55,1,16.11,US,1611975845
Hobart,-42.88,147.33,71.6,60,75,11.5,AU,1611975845
Marzuq,14.4,46.47,54.77,38,0,1.99,YE,1611975845
Mahébourg,-20.41,57.7,78.8,89,75,4.61,MU,1611975845
Punta Arenas,-53.15,-70.92,46.4,81,40,20.71,CL,1611975833
Basco,20.45,121.97,69.4,73,41,24.58,PH,1611975846
Vaini,-21.2,-175.2,80.6,89,90,19.24,TO,1611975847
São Filipe,14.9,-24.5,74.64,55,97,9.78,CV,1611975847
Cape Town,-33.93,18.42,70,88,40,4.61,ZA,1611975554
Anloga,5.79,0.9,80.6,83,20,3.44,GH,1611975848
Narón,43.52,-8.15,55.99,82,20,10.36,ES,1611975581
Taurisano,39.96,18.21,57,94,0,9.22,IT,1611975849
Esim,4.87,-2.24,77.92,81,1,5.77,GH,1611975849
